total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.242,0.044,0.159,0.039,3.629,0.599,1.265,1.099,CAS002_CAS0000124_stacked_02_H
1.353,0.186,0.45,0.717,9.213,1.437,3.212,4.226,CAS001_CAS0000072_stacked_02_H
0.344,0.135,0.105,0.104,4.507,0.868,0.951,1.985,CAS002_CAS0000142_stacked_02_H
0.123,0.026,0.05,0.047,3.586,0.757,0.691,1.711,CAS001_CAS0000014_stacked_02_H
0.644,0.227,0.201,0.216,6.367,1.577,1.11,1.344,CAS001_CAS0000060_stacked_01_H
0.28,0.116,0.092,0.072,4.473,0.944,1.272,1.642,CAS002_CAS0000136_stacked_01_H
0.377,0.071,0.152,0.154,5.858,0.967,1.72,2.257,CAS001_CAS0000032_stacked_01_H
0.167,0.054,0.059,0.054,4.282,1.139,1.532,1.493,CAS002_CAS0000110_stacked_02_H
1.828,0.145,0.521,1.162,10.643,1.074,3.027,6.347,CAS001_CAS0000008_stacked_02_H
0.447,0.053,0.014,0.38,5.995,1.155,0.99,2.53,CAS001_CAS0000046_stacked_02_H
0.211,0.046,0.082,0.083,3.731,0.719,0.616,1.746,CAS002_CAS0000138_stacked_02_H
0.311,0.086,0.155,0.07,4.483,0.946,1.275,1.645,CAS001_CAS0000084_stacked_01_H
0.823,0.09,0.29,0.443,7.097,1.107,2.083,2.93,CAS001_CAS0000020_stacked_02_H
0.314,0.048,0.105,0.161,3.478,0.319,1.34,1.723,CAS001_CAS0000013_stacked_04_H
0.442,0.112,0.163,0.167,5.662,1.299,1.351,2.389,CAS001_CAS0000054_stacked_01_H
0.274,0.084,0.112,0.078,3.317,0.883,1.309,0.943,CAS002_CAS0000102_stacked_01_H
0.185,0.061,0.063,0.061,4.189,0.846,1.422,1.768,CAS002_CAS0000121_stacked_02_H
0.651,0.093,0.274,0.284,6.124,1.124,2.191,2.528,CAS001_CAS0000039_stacked_02_H
0.714,0.198,0.222,0.294,6.686,1.595,1.165,2.515,CAS001_CAS0000003_stacked_01_H
0.264,0.051,0.113,0.1,4.329,0.755,1.43,1.946,CAS002_CAS0000155_stacked_01_H
2.083,0.354,0.781,0.948,9.013,1.985,2.811,3.969,CAS001_CAS0000065_stacked_01_H
0.28,0.146,0.119,0.015,3.49,1.153,0.993,0.448,CAS002_CAS0000099_stacked_01_H
0.316,0.053,0.144,0.119,4.656,1.025,0.683,1.922,CAS002_CAS0000133_stacked_01_H
0.201,0.057,0.097,0.047,4.057,0.968,0.931,1.228,CAS002_CAS0000109_stacked_02_H
0.292,0.076,0.099,0.117,5.13,0.988,0.8,2.071,CAS002_CAS0000147_stacked_02_H
0.273,0.076,0.122,0.075,4.082,0.824,0.936,1.198,CAS001_CAS0000011_stacked_02_H
0.411,0.153,0.017,0.241,7.953,2.043,0.803,2.992,CAS001_CAS0000055_stacked_03_H
0.487,,0.487,,2.82,,2.82,,CAS002_CAS0000115_stacked_02_H
0.721,0.123,0.285,0.313,6.375,1.287,2.047,2.807,CAS001_CAS0000043_stacked_02_H
1.632,0.407,0.289,0.936,9.987,1.741,3.298,6.872,CAS001_CAS0000079_stacked_01_H
1.051,0.15,0.368,0.533,9.177,1.431,2.778,4.715,CAS001_CAS0000037_stacked_01_H
0.363,0.097,0.155,0.111,5.114,1.314,1.079,2.064,CAS001_CAS0000093_stacked_02_H
0.356,0.082,0.125,0.149,5.451,1.0,1.55,2.65,CAS002_CAS0000149_stacked_01_H
0.133,0.055,0.051,0.027,3.633,0.867,0.533,1.067,CAS002_CAS0000107_stacked_01_H
0.718,0.255,0.367,0.096,6.069,1.837,2.06,1.114,CAS001_CAS0000033_stacked_03_H
0.762,0.251,0.35,0.161,4.613,0.973,1.735,0.55,CAS001_CAS0000016_stacked_04_H
0.21,0.052,0.11,0.048,3.659,0.873,0.772,1.343,CAS002_CAS0000097_stacked_02_H
0.417,0.132,0.207,0.078,5.502,1.363,1.01,2.171,CAS001_CAS0000025_stacked_02_H
0.331,0.068,0.145,0.118,5.969,1.15,1.862,2.026,CAS001_CAS0000007_stacked_01_H
0.726,0.18,0.443,0.103,7.017,1.352,1.416,1.352,CAS001_CAS0000049_stacked_01_H
0.28,0.028,0.154,0.098,3.981,0.694,1.205,1.863,CAS002_CAS0000151_stacked_01_H
0.287,0.079,0.124,0.084,4.201,1.041,0.501,1.58,CAS002_CAS0000125_stacked_02_H
1.112,0.194,0.405,0.513,8.982,1.483,2.472,4.12,CAS001_CAS0000073_stacked_02_H
0.233,0.068,0.085,0.08,4.329,0.874,1.191,1.827,CAS002_CAS0000143_stacked_02_H
0.832,0.098,0.249,0.485,6.35,0.757,2.214,3.32,CAS001_CAS0000015_stacked_02_H
0.318,0.056,0.138,0.124,5.57,0.664,1.686,2.913,CAS001_CAS0000026_stacked_04_H
0.873,0.208,0.306,0.359,7.458,1.711,2.19,3.284,CAS001_CAS0000061_stacked_01_H
0.283,0.062,0.107,0.114,4.036,0.778,1.148,1.925,CAS002_CAS0000137_stacked_01_H
1.265,0.157,0.663,0.445,12.425,1.824,2.964,4.218,CAS001_CAS0000081_stacked_03_H
0.709,0.251,0.373,0.085,6.485,1.963,1.904,1.963,CAS001_CAS0000033_stacked_01_H
0.847,0.248,0.199,0.4,13.139,2.893,3.014,6.268,CAS001_CAS0000051_stacked_03_H
0.221,0.058,0.101,0.062,4.187,1.037,0.999,1.652,CAS002_CAS0000111_stacked_02_H
0.646,0.143,0.223,0.28,7.476,1.372,2.4,3.566,CAS001_CAS0000047_stacked_02_H
1.633,0.332,0.994,0.307,9.947,1.825,3.559,3.65,CAS001_CAS0000009_stacked_02_H
0.281,0.052,0.093,0.136,3.988,0.622,1.39,1.829,CAS001_CAS0000004_stacked_05_H
0.322,0.055,0.183,0.084,4.542,0.917,1.458,1.833,CAS001_CAS0000085_stacked_01_H
0.178,0.046,0.075,0.057,3.336,0.857,0.704,1.224,CAS002_CAS0000139_stacked_02_H
0.415,0.11,0.16,0.145,3.689,0.914,0.677,1.32,CAS001_CAS0000012_stacked_04_H
0.715,0.197,0.323,0.195,6.55,1.382,1.502,2.584,CAS001_CAS0000021_stacked_02_H
0.936,0.314,0.27,0.352,6.883,1.768,1.894,2.589,CAS001_CAS0000055_stacked_01_H
0.142,0.066,0.057,0.019,2.82,0.828,0.828,0.776,CAS002_CAS0000103_stacked_01_H
0.16,0.053,0.068,0.039,3.81,1.049,0.839,1.398,CAS002_CAS0000120_stacked_02_H
0.87,0.245,0.297,0.328,9.383,1.808,2.496,3.96,CAS001_CAS0000076_stacked_02_H
0.295,0.064,0.116,0.115,4.684,0.902,1.203,2.192,CAS001_CAS0000038_stacked_02_H
0.993,0.239,0.422,0.332,9.741,1.787,1.966,3.128,CAS001_CAS0000002_stacked_01_H
0.212,0.036,0.098,0.078,3.979,0.876,0.694,1.314,CAS002_CAS0000154_stacked_01_H
0.377,0.09,0.118,0.169,3.589,0.79,1.317,1.218,CAS002_CAS0000098_stacked_01_H
1.463,0.437,0.763,0.263,11.444,2.415,2.94,3.57,CAS001_CAS0000064_stacked_01_H
0.17,0.039,0.075,0.056,3.375,0.805,1.115,1.301,CAS002_CAS0000132_stacked_01_H
0.281,0.082,0.102,0.097,4.486,0.906,0.864,1.646,CAS002_CAS0000146_stacked_02_H
0.532,0.179,0.015,0.338,6.307,1.504,0.752,2.083,CAS001_CAS0000006_stacked_03_H
0.181,0.066,0.082,0.033,3.839,1.057,0.951,1.197,CAS002_CAS0000108_stacked_02_H
0.312,0.061,0.227,0.024,4.585,0.757,1.346,1.472,CAS001_CAS0000010_stacked_02_H
0.139,0.06,0.065,0.014,4.044,1.039,1.373,0.927,CAS002_CAS0000114_stacked_02_H
0.425,0.107,0.158,0.16,5.463,1.103,1.704,2.406,CAS001_CAS0000042_stacked_02_H
0.726,0.221,0.276,0.229,9.04,1.907,2.405,3.566,CAS001_CAS0000036_stacked_01_H
1.932,0.346,0.607,0.979,9.727,1.428,3.213,4.551,CAS001_CAS0000078_stacked_01_H
0.379,0.121,0.13,0.128,4.292,0.984,1.378,1.693,CAS001_CAS0000092_stacked_02_H
0.369,0.152,0.183,0.034,4.779,1.272,1.008,1.666,CAS001_CAS0000050_stacked_01_H
0.173,0.065,0.08,0.028,3.459,0.92,0.793,0.698,CAS002_CAS0000106_stacked_01_H
0.454,0.104,0.137,0.213,4.414,0.972,1.336,1.944,CAS002_CAS0000148_stacked_01_H
2.095,0.254,0.495,1.346,9.786,1.077,2.963,5.387,CAS001_CAS0000080_stacked_01_H
0.689,0.156,0.359,0.174,6.191,1.25,2.102,1.988,CAS001_CAS0000024_stacked_02_H
0.199,,0.175,0.024,2.337,,1.437,0.772,CAS002_CAS0000096_stacked_02_H
0.479,0.1,0.276,0.103,4.749,0.958,1.22,1.176,CAS001_CAS0000087_stacked_02_H
1.403,0.293,0.504,0.606,9.478,1.913,1.913,2.522,CAS001_CAS0000023_stacked_01_H
0.801,0.185,0.192,0.424,10.652,2.052,2.248,5.277,CAS001_CAS0000019_stacked_02_H
0.255,0.077,0.136,0.042,3.844,0.776,0.564,1.128,CAS001_CAS0000057_stacked_02_H
0.287,0.057,0.159,0.071,3.534,0.648,0.875,1.589,CAS002_CAS0000101_stacked_02_H
0.219,0.066,0.045,0.108,4.064,1.044,0.373,1.864,CAS001_CAS0000031_stacked_02_H
0.2,0.083,0.071,0.046,3.764,0.932,0.898,1.105,CAS002_CAS0000129_stacked_02_H
0.268,0.058,0.098,0.112,4.282,0.707,1.257,1.846,CAS001_CAS0000095_stacked_01_H
0.281,0.059,0.154,0.068,4.504,1.033,0.826,1.653,CAS002_CAS0000113_stacked_01_H
0.317,0.067,0.135,0.115,4.036,0.889,1.148,1.74,CAS001_CAS0000045_stacked_01_H
0.24,0.065,0.077,0.098,4.634,0.978,1.403,1.573,CAS002_CAS0000141_stacked_01_H
0.38,0.068,0.161,0.151,6.023,0.939,0.718,2.929,CAS001_CAS0000032_stacked_06_H
0.908,0.24,0.321,0.347,7.067,1.751,1.556,3.047,CAS001_CAS0000059_stacked_01_H
0.52,0.126,0.204,0.19,4.549,1.043,1.586,1.836,CAS001_CAS0000017_stacked_01_H
0.693,0.201,0.287,0.205,6.351,1.573,2.098,2.447,CAS001_CAS0000063_stacked_02_H
0.303,0.094,0.134,0.075,3.813,1.084,1.224,1.049,CAS002_CAS0000135_stacked_02_H
0.468,0.119,0.184,0.165,4.308,1.028,1.265,1.581,CAS001_CAS0000089_stacked_01_H
