total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.3,0.1,0.2,0.1,4.6,0.9,0.6,2.2,CAS004_CAS0000350_stacked_01_H
0.4,0.0,0.1,0.3,3.7,0.3,1.4,1.9,CAS003_CAS0000279_stacked_02_H
0.3,0.0,0.2,0.0,4.1,0.8,0.7,1.7,CAS003_CAS0000237_stacked_02_H
0.2,0.1,0.0,0.1,4.9,1.1,1.0,2.1,CAS002_CAS0000188_stacked_02_H
0.4,0.2,0.2,,2.8,1.2,1.5,,CAS004_CAS0000336_stacked_01_H
0.3,0.1,0.2,0.0,4.8,1.1,1.7,1.8,CAS003_CAS0000251_stacked_02_H
0.3,0.1,0.3,,3.4,0.8,2.5,,CAS004_CAS0000378_stacked_01_H
0.4,0.0,0.2,0.1,3.9,0.7,0.7,1.6,CAS003_CAS0000281_stacked_02_H
0.3,0.1,0.1,0.1,5.4,0.9,1.2,2.1,CAS002_CAS0000170_stacked_02_H
0.3,0.1,0.1,0.1,5.3,1.1,1.1,2.3,CAS003_CAS0000198_stacked_02_H
0.2,0.0,0.2,0.0,16.1,0.5,3.2,1.5,CAS003_CAS0000225_stacked_01_H
0.5,0.1,0.3,0.1,5.9,1.3,1.5,2.0,CAS004_CAS0000342_stacked_02_H
0.3,0.0,0.1,0.2,4.5,0.5,1.4,2.3,CAS004_CAS0000286_stacked_01_H
0.5,0.1,0.2,0.2,5.2,0.8,1.9,2.2,CAS005_CAS0000410_stacked_01_H
0.5,0.1,0.2,0.2,6.0,1.1,1.3,2.5,CAS004_CAS0000362_stacked_01_H
0.3,0.1,0.1,0.1,5.1,1.0,1.3,2.3,CAS003_CAS0000205_stacked_02_H
0.3,0.1,0.1,0.1,6.0,1.2,1.4,2.3,CAS003_CAS0000271_stacked_01_H
0.3,0.1,0.1,0.1,3.9,1.2,0.6,1.5,CAS004_CAS0000358_stacked_02_H
0.2,0.0,0.1,0.1,2.8,0.7,1.0,1.0,CAS004_CAS0000316_stacked_02_H
0.7,0.2,0.2,0.2,6.5,1.5,2.0,2.6,CAS002_CAS0000180_stacked_01_H
0.7,0.1,0.2,0.4,6.4,1.1,1.9,3.0,CAS003_CAS0000217_stacked_01_H
0.3,0.1,0.1,0.2,4.7,0.9,1.1,2.5,CAS005_CAS0000402_stacked_02_H
0.4,0.1,0.3,0.1,4.0,0.7,0.7,1.7,CAS004_CAS0000370_stacked_02_H
0.7,0.2,0.3,0.3,3.8,0.8,1.3,1.6,CAS003_CAS0000259_stacked_01_H
0.8,0.2,0.3,0.2,6.9,1.5,2.0,3.2,CAS004_CAS0000294_stacked_02_H
0.2,0.0,0.0,0.1,5.1,1.0,1.3,2.3,CAS004_CAS0000304_stacked_01_H
0.4,0.1,0.2,0.1,4.3,1.0,0.8,1.4,CAS002_CAS0000178_stacked_01_H
0.4,0.1,0.2,0.1,5.0,1.2,1.6,1.9,CAS003_CAS0000263_stacked_02_H
0.6,,0.0,0.6,3.1,,1.6,2.6,CAS003_CAS0000231_stacked_02_H
0.2,0.1,0.1,0.0,4.5,1.2,1.2,0.5,CAS004_CAS0000318_stacked_01_H
